"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
-1.5,88.5,0,0,6.15830906647324e-10,0,0
-0.5,88.5,0,0,0,0,0
0.5,88.5,0,0,0,0,0
1.5,88.5,0,0,0,0,0
2.5,88.5,0,0,0,0,0
3.5,88.5,0,0,0,0,0
4.5,88.5,0,0,0,0,0
5.5,88.5,0,0,5.14102536985785e-10,0,0
6.5,88.5,0,0,1.59149273191293e-11,0,0
7.5,88.5,0,0,2.93646312012891e-10,0,0
8.5,88.5,0,0,4.52627900395555e-10,0,0
9.5,88.5,0,0,5.43425724727765e-10,0,0
10.5,88.5,0,0,6.03076450500859e-10,0,0
11.5,88.5,0,0,6.42527528692926e-10,0,0
12.5,88.5,0,0,6.67172072282056e-10,0,0
13.5,88.5,0,0,6.79597653769246e-10,0,0
14.5,88.5,0,0,1.08677638227873e-09,0,0
15.5,88.5,0,0,6.71716245012482e-10,0,0
16.5,88.5,0,0,6.50710144056926e-10,0,0
17.5,88.5,0,0,6.15779697303545e-10,0,0
18.5,88.5,0,0,5.62608407263724e-10,0,0
19.5,88.5,0,0,4.82090014585295e-10,0,0
20.5,88.5,0,0,3.50510583575307e-10,0,0
21.5,88.5,0,0,4.77602690322811e-10,0,0
22.5,88.5,0,0,0,0,0
23.5,88.5,0,0,0,0,0
24.5,88.5,0,0,0,0,0
25.5,88.5,0,0,0,0,0
26.5,88.5,0,0,0,0,0
27.5,88.5,0,0,0,0,0
28.5,88.5,0,0,0,0,0
29.5,88.5,0,0,0,0,0
30.5,88.5,0,0,0,0,0
31.5,88.5,0,0,0,0,0
32.5,88.5,0,0,0,0,0
33.5,88.5,0,0,0,0,0
34.5,88.5,0,0,0,0,0
35.5,88.5,0,0,0,0,0
36.5,88.5,0,0,0,0,0
37.5,88.5,0,0,0,0,0
38.5,88.5,0,0,0,0,0
39.5,88.5,0,0,0,0,0
40.5,88.5,0,0,0,0,0
41.5,88.5,0,0,0,0,0
42.5,88.5,0,0,0,0,0
43.5,88.5,0,0,0,0,0
44.5,88.5,0,0,0,0,0
45.5,88.5,0,0,0,0,0
46.5,88.5,0,0,0,0,0
47.5,88.5,0,0,0,0,0
48.5,88.5,0,0,0,0,0
49.5,88.5,0,0,0,0,0
50.5,88.5,0,0,0,0,0
